x f587797729: [stage1] 3.1, f587797729: [stage1] 3.1
14130,0.936
14170,0.9322
14180,0.9322
14190,0.9404
14200,0.9244
14230,0.9391
14240,0.9307
14250,0.9428
14260,0.9257
14270,0.9335
14300,0.9411
14310,0.9404
14320,0.9357
14330,0.9247
14340,0.9378
14350,0.928
14360,0.9327
14370,0.9308
14380,0.9308
14390,0.9323
14410,0.9306
14440,0.9311
14450,0.9359
14460,0.9311
14470,0.9437
14480,0.9448
14490,0.9325
14510,0.932
14520,0.938
14530,0.9346
14550,0.9269
14570,0.9426
14590,0.9391
14600,0.9244
14610,0.9218
14650,0.9304
